task_name,remove_rate,abstention_rate,n_remaining,tpr,tnr,fpr,fnr,method
new_pancan,0.5,0.5,1717,0.0,1.0,0.0,1.0,entropy
new_lupus,0.0,0.0,3464,0.36,0.8837415166715845,0.11625848332841546,0.64,entropy
new_lupus,0.05,0.050230946882217076,3290,0.15789473684210525,0.9263841633158058,0.07361583668419425,0.8421052631578947,entropy
new_lupus,0.1,0.1001732101616628,3117,0.058823529411764705,0.9752120026092629,0.024787997390737115,0.9411764705882353,entropy
new_lupus,0.2,0.20005773672055427,2771,0.0,0.9996341017197219,0.00036589828027808267,1.0,entropy
new_lupus,0.3,0.3002309468822171,2424,0.0,1.0,0.0,1.0,entropy
new_lupus,0.4,0.40011547344110854,2078,0.0,1.0,0.0,1.0,entropy
new_lupus,0.5,0.5,1732,0.0,1.0,0.0,1.0,entropy
new_celiac,0.0,0.0,3458,0.171875,0.8635827931644078,0.13641720683559222,0.828125,entropy
new_celiac,0.05,0.05002891844997104,3285,0.08620689655172414,0.9082739386427022,0.0917260613572978,0.9137931034482759,entropy
new_celiac,0.1,0.10005783689994219,3112,0.05357142857142857,0.9587696335078534,0.0412303664921466,0.9464285714285714,entropy
new_celiac,0.2,0.20011567379988437,2766,0.0,1.0,0.0,1.0,entropy
new_celiac,0.3,0.30017351069982645,2420,0.0,1.0,0.0,1.0,entropy
new_celiac,0.4,0.40023134759976864,2074,0.0,1.0,0.0,1.0,entropy
new_celiac,0.5,0.5,1729,0.0,1.0,0.0,1.0,entropy
