task_name,n_train,n_val,n_test,e_v_threshold,n_keep,abstain_rate,roc_auc,accuracy,brier_score,ece,mce,precision,recall,f1_score,specificity,sensitivity,predictive_entropy_mean,aleatoric_entropy_mean,epistemic_uncertainty_mean
new_hypertension,1553,389,1822,0.02,1792,0.016465422612513714,0.7177530623233275,0.7299107142857143,0.10579599045746554,0.05418391618877649,0.3567921850416395,0.25,0.5614035087719298,0.34594594594594597,0.7544757033248082,0.5614035087719298,0.26547176,0.25909394,0.006377842
new_hypertension,1553,389,1822,0.03,1822,0.0,0.7221055088702149,0.7233809001097695,0.10734483372643472,0.05442014025804371,0.3567921850416395,0.25461254612546125,0.5798319327731093,0.35384615384615387,0.7449494949494949,0.5798319327731093,0.27185455,0.26521575,0.0066387784
new_hypertension,1553,389,1822,0.04,1822,0.0,0.7221055088702149,0.7233809001097695,0.10734483372643472,0.05442014025804371,0.3567921850416395,0.25461254612546125,0.5798319327731093,0.35384615384615387,0.7449494949494949,0.5798319327731093,0.27185455,0.26521575,0.0066387784
new_hypertension,1553,389,1822,0.05,1822,0.0,0.7221055088702149,0.7233809001097695,0.10734483372643472,0.05442014025804371,0.3567921850416395,0.25461254612546125,0.5798319327731093,0.35384615384615387,0.7449494949494949,0.5798319327731093,0.27185455,0.26521575,0.0066387784
new_hypertension,1553,389,1822,0.06,1822,0.0,0.7221055088702149,0.7233809001097695,0.10734483372643472,0.05442014025804371,0.3567921850416395,0.25461254612546125,0.5798319327731093,0.35384615384615387,0.7449494949494949,0.5798319327731093,0.27185455,0.26521575,0.0066387784
lab_hypoglycemia,150161,37541,130462,0.01,124005,0.049493339056583485,0.7359149826634696,0.8900689488327084,0.011057330760211766,0.00859769956560213,0.4745658803208966,0.0338145896656535,0.3267254038179148,0.0612863241977689,0.8963251062025553,0.3267254038179148,0.016046928,0.015017658,0.0010292681
lab_hypoglycemia,150161,37541,130462,0.02,128262,0.01686314788980703,0.7468272138613766,0.8620557920506463,0.012210539154607803,0.008798114531958199,0.5164556503295898,0.03674781809830041,0.4110468850353243,0.06746429136140832,0.867597963774121,0.4110468850353243,0.022558872,0.021104896,0.0014539714
lab_hypoglycemia,150161,37541,130462,0.03,129458,0.0076957274915301355,0.7499457444294554,0.8545628698110584,0.01259262907203037,0.008954177673840305,0.7330536842346191,0.03766387277025575,0.43325092707045737,0.06930301532377657,0.8598951814768461,0.43325092707045737,0.025143744,0.023479102,0.001664641
lab_hypoglycemia,150161,37541,130462,0.04,130004,0.0035106007879689427,0.7521603654606309,0.8512353466047199,0.012842050945723407,0.009270410273303317,0.7388916611671448,0.03836517381772628,0.4449152542372881,0.07063911580970687,0.8564650336574421,0.4449152542372881,0.026698487,0.024895515,0.0018029709
lab_hypoglycemia,150161,37541,130462,0.05,130250,0.0016249942511995519,0.7550206321736908,0.8498426103646833,0.013031050114946326,0.009384917074338946,0.5305294460720487,0.03932178932178932,0.45416666666666666,0.07237715803452856,0.8550128334759275,0.45416666666666666,0.027519798,0.02563628,0.0018835161
lab_hypoglycemia,150161,37541,130462,0.06,130369,0.0007128512517055041,0.7561302746769814,0.8491589258182544,0.01312465094925445,0.009508048092968999,0.4863550662994385,0.0396967679147672,0.4580378250591017,0.07306151308036767,0.8543018565866471,0.4580378250591017,0.027971674,0.026040038,0.0019316373
guo_readmission,2842,711,3450,0.01,3358,0.026666666666666616,0.7509742620328631,0.7918403811792734,0.0908312854494278,0.06146849259654278,0.24849901199340818,0.27359781121751026,0.5434782608695652,0.36396724294813465,0.8224080267558529,0.5434782608695652,0.14274725,0.14007539,0.0026718518
guo_readmission,2842,711,3450,0.02,3450,0.0,0.7584991803278689,0.78,0.09412168462091945,0.0609547340006068,0.24849901199340818,0.2818955042527339,0.58,0.3793949304987735,0.8062295081967213,0.58,0.15458766,0.15167975,0.0029079108
guo_readmission,2842,711,3450,0.03,3450,0.0,0.7584991803278689,0.78,0.09412168462091945,0.0609547340006068,0.24849901199340818,0.2818955042527339,0.58,0.3793949304987735,0.8062295081967213,0.58,0.15458766,0.15167975,0.0029079108
guo_readmission,2842,711,3450,0.04,3450,0.0,0.7584991803278689,0.78,0.09412168462091945,0.0609547340006068,0.24849901199340818,0.2818955042527339,0.58,0.3793949304987735,0.8062295081967213,0.58,0.15458766,0.15167975,0.0029079108
guo_readmission,2842,711,3450,0.05,3450,0.0,0.7584991803278689,0.78,0.09412168462091945,0.0609547340006068,0.24849901199340818,0.2818955042527339,0.58,0.3793949304987735,0.8062295081967213,0.58,0.15458766,0.15167975,0.0029079108
guo_readmission,2842,711,3450,0.06,3450,0.0,0.7584991803278689,0.78,0.09412168462091945,0.0609547340006068,0.24849901199340818,0.2818955042527339,0.58,0.3793949304987735,0.8062295081967213,0.58,0.15458766,0.15167975,0.0029079108
lab_thrombocytopenia,79884,19971,79763,0.01,25358,0.6820831713952584,0.8867443570667581,0.926413755027999,0.06930270373604538,0.06699224641912319,0.44373256976787856,0.9410655351249411,0.7118402282453637,0.8105583756345177,0.9873417721518988,0.7118402282453637,0.027794678,0.024658024,0.003136653
lab_thrombocytopenia,79884,19971,79763,0.02,33710,0.5773729674159698,0.8761229142137527,0.9132008306140611,0.08225901837473737,0.0764689863151201,0.44373256976787856,0.9312543073742247,0.6814170448814927,0.7869831100757134,0.9845216851578865,0.6814170448814927,0.046336763,0.040360313,0.0059764474
lab_thrombocytopenia,79884,19971,79763,0.03,39631,0.5031405538909017,0.8710224947082803,0.9023239383311045,0.09200350710888236,0.08276161244555298,0.7785937786102295,0.9197059655074922,0.6632684269548373,0.7707161049576498,0.9809536583730132,0.6632684269548373,0.06444443,0.05565708,0.008787347
lab_thrombocytopenia,79884,19971,79763,0.04,44408,0.44325062999134934,0.8670818883864838,0.8928571428571429,0.09982656542585251,0.08703708678212813,0.4939385950565338,0.9038929440389294,0.6518687489033164,0.7574676317667448,0.9760678582247804,0.6518687489033164,0.08227505,0.07068128,0.011593767
lab_thrombocytopenia,79884,19971,79763,0.05,48516,0.39174805360881615,0.8638792378723851,0.8837290790666996,0.10680102606974609,0.090181138615264,0.4939385950565338,0.8883030237813407,0.6420127547052419,0.745338810888899,0.9708901228335858,0.6420127547052419,0.10001595,0.0856095,0.0144064585
lab_thrombocytopenia,79884,19971,79763,0.06,52287,0.3444704938379951,0.8609577897998912,0.8744429781781322,0.11322030789327227,0.09224602749423248,0.38557627360026037,0.8704060034635367,0.6342096039256923,0.7337686037552212,0.9645731418652359,0.6342096039256923,0.11839452,0.10106478,0.017329747
lab_anemia,82199,20550,82131,0.01,68049,0.1714577930379516,0.9639172204521528,0.9184117327220092,0.06952188979616215,0.06706677937370582,0.25024032282887393,0.9334673976968754,0.9600967823762415,0.946594844170835,0.79125,0.9600967823762415,0.13233143,0.13006954,0.0022618761
lab_anemia,82199,20550,82131,0.02,78360,0.04591445373853964,0.958864925921065,0.8944359367023992,0.09284077393008212,0.0965685825447626,0.29462577441690957,0.9124535821030704,0.9360911337830555,0.9241212299112057,0.803128437003544,0.9360911337830555,0.18622622,0.18243629,0.0037899048
lab_anemia,82199,20550,82131,0.03,81108,0.012455710998283243,0.9576943487499678,0.8904423731321202,0.09870594706925989,0.10527966670890859,0.31195749392269445,0.9087080168472588,0.9297605893186004,0.9191137650421454,0.8108027454491197,0.9297605893186004,0.20038731,0.1959161,0.00447119
lab_anemia,82199,20550,82131,0.04,81843,0.0035065931256164085,0.9576632531426672,0.8901433231919651,0.10020928680819789,0.1081190420639627,0.3206446495813699,0.9080463903623123,0.9287027842142043,0.9182584346276581,0.8137993810304023,0.9287027842142043,0.20421346,0.19947611,0.004737342
lab_anemia,82199,20550,82131,0.05,82046,0.001034931998879829,0.9576560616244227,0.8901226141432855,0.10066914516083589,0.10897686482061698,0.32437856440447527,0.9079011235955056,0.9284479905871971,0.9180596078859106,0.8147331115290033,0.9284479905871971,0.2052778,0.20044258,0.0048351944
lab_anemia,82199,20550,82131,0.06,82111,0.00024351341150108397,0.9576654471467054,0.8901243438759727,0.1007813208276934,0.10921965438286343,0.32458916190126574,0.907884802070974,0.9283455882352941,0.9180011997164307,0.8150914799177222,0.9283455882352941,0.20563175,0.20075713,0.0048745917
new_hyperlipidemia,1860,466,2116,0.01,969,0.5420604914933838,0.6124636680192236,0.9184726522187823,0.07844989581345005,0.06369208010111554,0.49892749786376955,0.4666666666666667,0.08974358974358974,0.15053763440860216,0.9910213243546577,0.08974358974358974,0.08251576,0.078508675,0.0040070796
new_hyperlipidemia,1860,466,2116,0.02,1405,0.3360113421550095,0.6424853871406838,0.8790035587188612,0.10090520042679565,0.07521452931322663,0.6310436725616455,0.3,0.17391304347826086,0.22018348623853212,0.9558011049723757,0.17391304347826086,0.14636369,0.1390882,0.007275503
new_hyperlipidemia,1860,466,2116,0.03,1720,0.18714555765595464,0.6465322651641869,0.8040697674418604,0.1121138757053722,0.0802128906859908,0.5571735485180005,0.21212121212121213,0.3027027027027027,0.24944320712694878,0.8644951140065147,0.3027027027027027,0.20724487,0.19673926,0.010505631
new_hyperlipidemia,1860,466,2116,0.04,1988,0.060491493383742934,0.6577639388357747,0.7243460764587525,0.12238291358578997,0.09477243960743219,0.5571735485180005,0.19807692307692307,0.44017094017094016,0.27320954907161804,0.7622576966932725,0.44017094017094016,0.26043895,0.24667743,0.013761517
new_hyperlipidemia,1860,466,2116,0.05,2101,0.007088846880907385,0.6602744673167208,0.695383150880533,0.12760824377275493,0.1034563092717893,0.5571735485180005,0.19589257503949448,0.48627450980392156,0.27927927927927926,0.7242686890574215,0.48627450980392156,0.28125116,0.26587796,0.015373172
new_hyperlipidemia,1860,466,2116,0.06,2116,0.0,0.6605377124690215,0.6918714555765595,0.12840712980216032,0.10450618343677773,0.5571735485180005,0.19598765432098766,0.49224806201550386,0.2803532008830022,0.7195909580193757,0.49224806201550386,0.28404203,0.26841074,0.015631273
new_acutemi,2786,697,3354,0.01,3055,0.08914728682170547,0.6265037292025243,0.8081833060556465,0.04785440059333294,0.03102573503644103,0.9084653854370117,0.08237547892720307,0.2866666666666667,0.12797619047619047,0.8351118760757315,0.2866666666666667,0.091946796,0.08939065,0.0025561342
new_acutemi,2786,697,3354,0.02,3332,0.0065593321407274585,0.653846219909137,0.751500600240096,0.05367874091505834,0.035045534855320526,0.9084653854370117,0.09762202753441802,0.42162162162162165,0.15853658536585366,0.7708929138862408,0.42162162162162165,0.12428083,0.12080534,0.0034755033
new_acutemi,2786,697,3354,0.03,3354,0.0,0.6573635246621028,0.7477638640429338,0.054691394431715196,0.03579741799909583,0.9084653854370117,0.09987819732034105,0.43386243386243384,0.16237623762376238,0.7665086887835703,0.43386243386243384,0.12745768,0.12386143,0.0035962411
new_acutemi,2786,697,3354,0.04,3354,0.0,0.6573635246621028,0.7477638640429338,0.054691394431715196,0.03579741799909583,0.9084653854370117,0.09987819732034105,0.43386243386243384,0.16237623762376238,0.7665086887835703,0.43386243386243384,0.12745768,0.12386143,0.0035962411
new_acutemi,2786,697,3354,0.05,3354,0.0,0.6573635246621028,0.7477638640429338,0.054691394431715196,0.03579741799909583,0.9084653854370117,0.09987819732034105,0.43386243386243384,0.16237623762376238,0.7665086887835703,0.43386243386243384,0.12745768,0.12386143,0.0035962411
new_acutemi,2786,697,3354,0.06,3354,0.0,0.6573635246621028,0.7477638640429338,0.054691394431715196,0.03579741799909583,0.9084653854370117,0.09987819732034105,0.43386243386243384,0.16237623762376238,0.7665086887835703,0.43386243386243384,0.12745768,0.12386143,0.0035962411
guo_los,2830,708,3457,0.01,1267,0.63349725195256,0.9227538515140956,0.8839779005524862,0.09429518711444805,0.0649135475471063,0.6533591151237488,0.6726190476190477,0.8593155893536122,0.7545909849749582,0.8904382470119522,0.8593155893536122,0.20043106,0.19530715,0.0051239287
guo_los,2830,708,3457,0.02,2747,0.2053803876193231,0.8585928785928787,0.7550054605023662,0.1484475772981238,0.11652846834552821,0.3133217611430604,0.5008960573476703,0.8281481481481482,0.6242322724734785,0.7311776061776062,0.8281481481481482,0.38138112,0.37099835,0.010382774
guo_los,2830,708,3457,0.03,3405,0.015041943881978548,0.8308185711737457,0.7098384728340675,0.16185588128315442,0.12864082885383685,0.3095894867519163,0.45595854922279794,0.8262910798122066,0.5876460767946577,0.6709753231492362,0.8262910798122066,0.43182805,0.41891074,0.012917311
guo_los,2830,708,3457,0.04,3456,0.0002892681515764828,0.8287728188947215,0.7071759259259259,0.16263590258367966,0.12862593487456994,0.3035582361611292,0.4543147208121827,0.8248847926267281,0.5859247135842881,0.6676970633693973,0.8248847926267281,0.43519858,0.42199707,0.0132014975
guo_los,2830,708,3457,0.05,3457,0.0,0.8286772801084229,0.7072606306045705,0.1626695507152742,0.1284359475936647,0.3035582361611292,0.45466074825618263,0.8250863060989643,0.5862632869991823,0.6676970633693973,0.8250863060989643,0.43527272,0.42206258,0.0132101495
guo_los,2830,708,3457,0.06,3457,0.0,0.8286772801084229,0.7072606306045705,0.1626695507152742,0.1284359475936647,0.3035582361611292,0.45466074825618263,0.8250863060989643,0.5862632869991823,0.6676970633693973,0.8250863060989643,0.43527272,0.42206258,0.0132101495
guo_icu,2620,656,3215,0.01,2488,0.22612752721617413,0.7701810911399758,0.9742765273311897,0.0208690271933144,0.013500912174869964,0.43032583594322205,0.46511627906976744,0.32786885245901637,0.38461538461538464,0.9905232797692625,0.32786885245901637,0.04133916,0.039420106,0.0019190504
guo_icu,2620,656,3215,0.02,2820,0.12286158631415245,0.7749452554744526,0.9078014184397163,0.027773520499003754,0.01917609394864833,0.749297300974528,0.14,0.4375,0.21212121212121213,0.9215328467153284,0.4375,0.07227439,0.068831295,0.0034430893
guo_icu,2620,656,3215,0.03,3030,0.05754276827371696,0.7904411764705883,0.8544554455445544,0.03696560848090585,0.029916879997001624,0.6845319611685617,0.12582781456953643,0.5588235294117647,0.20540540540540542,0.8647540983606558,0.5588235294117647,0.09948928,0.09455852,0.0049307626
guo_icu,2620,656,3215,0.04,3134,0.02519440124416794,0.7941181596375043,0.8299298021697511,0.04136510765337797,0.03550952425715112,0.5941899952135588,0.12387791741472172,0.6052631578947368,0.20566318926974664,0.83841059602649,0.6052631578947368,0.11471546,0.10879158,0.005923874
guo_icu,2620,656,3215,0.05,3188,0.00839813374805598,0.8028338230492982,0.8193224592220828,0.04428412656844194,0.03830409259389305,0.5675223090431907,0.1309328968903437,0.64,0.21739130434782608,0.8266405484818805,0.64,0.12335128,0.11677,0.0065812967
guo_icu,2620,656,3215,0.06,3207,0.002488335925349916,0.8082048660399647,0.8163392578734019,0.045317392995747795,0.03839658642618092,0.5675223090431907,0.1365079365079365,0.6564885496183206,0.22601839684625494,0.823146944083225,0.6564885496183206,0.12633145,0.11946465,0.0068667927
new_pancan,2861,716,3434,0.01,3213,0.0643564356435643,0.6878311522502395,0.8957360722066604,0.023638623298897415,0.01829550305594175,0.27813875675201416,0.08196721311475409,0.3125,0.12987012987012986,0.9106287902968401,0.3125,0.035284787,0.034026474,0.0012583133
new_pancan,2861,716,3434,0.02,3366,0.01980198019801982,0.7376294154583024,0.8624480095068331,0.02938393314126083,0.020094708343099003,0.7857604026794434,0.1091703056768559,0.47619047619047616,0.17761989342806395,0.874885004599816,0.47619047619047616,0.05136443,0.049498107,0.0018663239
new_pancan,2861,716,3434,0.03,3421,0.0037856726849155864,0.7753156538492798,0.8550131540485238,0.03295147296411547,0.020846685377766044,0.45563330650329587,0.14035087719298245,0.5669291338582677,0.225,0.8661202185792349,0.5669291338582677,0.05955293,0.057322633,0.0022303006
new_pancan,2861,716,3434,0.04,3432,0.0005824111822947398,0.7840266018182771,0.8540209790209791,0.03383478322040572,0.021644973740988956,0.31436630090077716,0.14885496183206107,0.5864661654135338,0.2374429223744292,0.8648075174295241,0.5864661654135338,0.06127778,0.05894239,0.0023353866
