task_name,threshold_mean_label,ci_width,n_test,n_confident,uauc,roc_auc_confident,ar_uauc,tpr,tnr,fnr,fpr,positive_abstain_rate,negative_abstain_rate,overall_abstain_rate,abstained_true_positives,abstained_true_negatives
lab_hyponatremia,0.23784462091699132,0.7,53392,41128,0.8292234898594226,0.7846080039264491,0.26493081154338516,0.8700065795657487,0.526911345075273,0.12999342043425133,0.47308865492472696,0.16221749744074337,0.2507556582213157,0.22969733293377284,2060,10204
lab_hyponatremia,0.23784462091699132,0.8,53392,38384,0.8436629231255071,0.7892308222699658,0.3249001562923531,0.8820754716981132,0.5268009075439591,0.1179245283018868,0.47319909245604086,0.19867706118592016,0.30680952497972624,0.28109080011986814,2523,12485
lab_hyponatremia,0.23784462091699132,0.9,53392,34486,0.8636278140346981,0.7960642180754716,0.41043088659073684,0.8982478361832383,0.5243483128098513,0.10175216381676166,0.4756516871901487,0.2539570044885424,0.3853488314943602,0.3540979922085706,3225,15681
lab_hyponatremia,0.23784462091699132,0.95,53392,31327,0.8792306480593609,0.8005976394058716,0.4799976945602181,0.9108344549125168,0.5243407255365669,0.08916554508748317,0.47565927446343315,0.2978974722419088,0.449266458604674,0.4132641594246329,3783,18282
new_hypertension,0.07803468208092486,0.0,692,692,0.7604202949030535,0.7604202949030535,0.0,0.7037037037037037,0.6802507836990596,0.2962962962962963,0.31974921630094044,0.0,0.0,0.0,0,0
new_hypertension,0.07803468208092486,0.5,692,602,0.80078792316006,0.7789534215066131,0.1674503657262278,0.6808510638297872,0.7225225225225225,0.3191489361702128,0.2774774774774775,0.12962962962962962,0.13009404388714735,0.13005780346820808,7,83
new_hypertension,0.07803468208092486,0.6,692,583,0.8114094699335122,0.7844914825434307,0.20982816672471846,0.6818181818181818,0.725417439703154,0.3181818181818182,0.274582560296846,0.18518518518518517,0.15517241379310345,0.157514450867052,10,99
new_hypertension,0.07803468208092486,0.7,692,558,0.8224010626245263,0.7913898117386489,0.2570242656449553,0.6904761904761905,0.7422480620155039,0.30952380952380953,0.25775193798449614,0.2222222222222222,0.19122257053291536,0.1936416184971098,12,122
new_hypertension,0.07803468208092486,0.8,692,525,0.8355491574223051,0.7999484536082474,0.31446650412167654,0.7,0.7484536082474227,0.3,0.2515463917525773,0.25925925925925924,0.23981191222570533,0.24132947976878613,14,153
new_hypertension,0.07803468208092486,0.9,692,478,0.8582874794864369,0.8141815284672428,0.3986415882967607,0.7297297297297297,0.7528344671201814,0.2702702702702703,0.2471655328798186,0.3148148148148148,0.30877742946708464,0.3092485549132948,17,197
new_hypertension,0.07803468208092486,0.95,692,434,0.8728566806858622,0.8258142522481674,0.4616858237547893,0.7878787878787878,0.743142144638404,0.21212121212121213,0.256857855361596,0.3888888888888889,0.3714733542319749,0.37283236994219654,21,237
lab_hypoglycemia,0.013500316484311421,0.0,110590,110590,0.7865597216435818,0.7865597198842712,6.139420555716896e-09,0.3596784996651038,0.9386417591684464,0.6403215003348962,0.06135824083155357,0.0,0.0,0.0,0,0
lab_hypoglycemia,0.013500316484311421,0.5,110590,106588,0.8326162346155528,0.7797520496845332,0.17062167422600216,0.3046815042210284,0.9618369188393409,0.6953184957789716,0.03816308116065916,0.12726054922973878,0.03494138243948046,0.03618772040871688,190,3812
lab_hypoglycemia,0.013500316484311421,0.6,110590,105547,0.8430698933024098,0.7788639659275969,0.2120356205988144,0.30039525691699603,0.9641452983256938,0.6996047430830039,0.03585470167430621,0.15271265907568654,0.04413503579383484,0.04560086807125418,228,4815
lab_hypoglycemia,0.013500316484311421,0.7,110590,104240,0.8546242158624169,0.7771086325884783,0.2595799503002855,0.2938271604938272,0.966891531181752,0.7061728395061728,0.033108468818248,0.18620227729403885,0.0556568924901693,0.05741929650058775,278,6072
lab_hypoglycemia,0.013500316484311421,0.8,110590,102596,0.8683922757703357,0.7744670125612135,0.3178438617775522,0.2862098872506505,0.9701014362745581,0.7137901127493496,0.029898563725441873,0.2277294038847957,0.07015774952565149,0.07228501672845646,340,7654
lab_hypoglycemia,0.013500316484311421,0.9,110590,99804,0.8863762485416428,0.768063500176342,0.4002586083563002,0.2836676217765043,0.9735816195307675,0.7163323782234957,0.02641838046923256,0.29872739450770264,0.09477804155934627,0.09753142237091961,446,10340
lab_hypoglycemia,0.013500316484311421,0.95,110590,97069,0.8999754105164066,0.7663542108608398,0.4669902296831517,0.27897435897435896,0.9761275417820051,0.721025641025641,0.023872458217994882,0.34695244474212994,0.1191875120305783,0.12226241070621213,518,13003
guo_readmission,0.1094834232845027,0.0,1297,1297,0.7989573806475215,0.7989573806475215,0.0,0.4084507042253521,0.9134199134199135,0.5915492957746479,0.08658008658008658,0.0,0.0,0.0,0,0
guo_readmission,0.1094834232845027,0.5,1297,1233,0.8437712139813678,0.7987581227436823,0.15572221206024023,0.392,0.9386281588447654,0.608,0.061371841155234655,0.11971830985915492,0.04069264069264069,0.04934464148033924,17,47
guo_readmission,0.1094834232845027,0.6,1297,1223,0.8537944153814797,0.799490022172949,0.19229925004572893,0.3983739837398374,0.9427272727272727,0.6016260162601627,0.057272727272727274,0.13380281690140844,0.047619047619047616,0.05705474171164225,19,55
guo_readmission,0.1094834232845027,0.7,1297,1205,0.8648090733021432,0.7981538365584021,0.23500396317297725,0.3898305084745763,0.9466421343146274,0.6101694915254238,0.05335786568537258,0.16901408450704225,0.05887445887445888,0.07093292212798766,24,68
guo_readmission,0.1094834232845027,0.8,1297,1180,0.8783943228454172,0.7900514787175235,0.28687275166148407,0.4074074074074074,0.9486940298507462,0.5925925925925926,0.051305970149253734,0.23943661971830985,0.07186147186147186,0.09020817270624518,34,83
guo_readmission,0.1094834232845027,0.9,1297,1144,0.8953717145476773,0.7919536336607579,0.36159990244497286,0.38235294117647056,0.9587332053742802,0.6176470588235294,0.04126679462571977,0.28169014084507044,0.09783549783549783,0.117964533538936,40,113
guo_readmission,0.1094834232845027,0.95,1297,1118,0.9077903278636561,0.7825124573826383,0.42294372294372296,0.3870967741935484,0.9609756097560975,0.6129032258064516,0.03902439024390244,0.34507042253521125,0.11255411255411256,0.13801079414032383,49,130
lab_thrombocytopenia,0.28637292646988927,0.0,42078,42078,0.8248033226948893,0.8248033011512905,6.6328135234224e-08,0.86149377593361,0.5547822032769415,0.13850622406639004,0.4452177967230585,0.0,0.0,0.0,0,0
lab_thrombocytopenia,0.28637292646988927,0.5,42078,36821,0.8610893722795617,0.8378212995356903,0.1177095927618317,0.8795718108831401,0.5760415446487838,0.12042818911685994,0.4239584553512163,0.06970954356846473,0.1470960436925536,0.12493464518275584,840,4417
