task_name,threshold_mean_preds,ci_width,n_test,n_confident,uauc,roc_auc_confident,ar_uauc,tpr,tnr,fnr,fpr,positive_abstain_rate,negative_abstain_rate,overall_abstain_rate,abstained_true_positives,abstained_true_negatives
lab_hypoglycemia,0.006567566,0.5,130462,117511,0.8367578035475279,0.7954876502286576,0.19866589081806996,0.5165609584214236,0.8970213279123453,0.4834390415785765,0.10297867208765461,0.16725352112676056,0.09837058668199257,0.09927028560040471,285,12666
lab_hypoglycemia,0.006567566,0.6,130462,114115,0.8487141430823034,0.7978495802545064,0.24686095898357782,0.5208333333333334,0.902749820432558,0.4791666666666667,0.09725017956744199,0.2112676056338028,0.12416315879401668,0.1253008538884886,360,15987
lab_hypoglycemia,0.006567566,0.7,130462,110004,0.8619626427703154,0.8018857802085535,0.301707635359473,0.5275590551181102,0.9086670222745415,0.47244094488188976,0.09133297772545845,0.2546948356807512,0.15551655042793458,0.15681194524075975,434,20024
lab_hypoglycemia,0.006567566,0.8,130462,104704,0.8774575894708567,0.8051021945042214,0.36861797255936035,0.5375323554788611,0.9145299145299145,0.4624676445211389,0.08547008547008547,0.3198356807511737,0.19581695894624024,0.19743680152074933,545,25213
lab_hypoglycemia,0.006567566,0.9,130462,96233,0.8970652506403759,0.8110826762562205,0.4627326224025316,0.5582089552238806,0.9215671861217289,0.4417910447761194,0.0784328138782711,0.4102112676056338,0.2604110035881266,0.2623675859637289,699,33530
lab_hypoglycemia,0.006567566,0.95,130462,88498,0.911840133673494,0.820626386490053,0.5373775307420617,0.5767955801104973,0.9257246583631112,0.42320441988950275,0.07427534163688879,0.4688967136150235,0.31970828997033196,0.32165688093084577,799,41165
guo_readmission,0.068813175,0.0,3450,3450,0.7638221311475409,0.7638221311475409,0.0,0.6075,0.8042622950819672,0.3925,0.19573770491803277,0.0,0.0,0.0,0,0
guo_readmission,0.068813175,0.5,3450,3152,0.8013250257088079,0.7703150380765518,0.14792868852459015,0.6011396011396012,0.8368439842913246,0.39886039886039887,0.16315601570867547,0.1225,0.08163934426229508,0.08637681159420289,49,249
guo_readmission,0.068813175,0.6,3450,3068,0.8105975118064702,0.771335538241651,0.18355409836065573,0.6101190476190477,0.8440702781844802,0.3898809523809524,0.15592972181551976,0.16,0.10426229508196722,0.11072463768115942,64,318
guo_readmission,0.068813175,0.7,3450,2966,0.8210479803719063,0.7715751134463816,0.22459754098360657,0.6170886075949367,0.850566037735849,0.3829113924050633,0.14943396226415095,0.21,0.13114754098360656,0.14028985507246378,84,400
guo_readmission,0.068813175,0.8,3450,2853,0.8332587211471284,0.7737439985836136,0.2749393442622951,0.6179401993355482,0.8530564263322884,0.38205980066445183,0.1469435736677116,0.2475,0.16327868852459015,0.17304347826086958,99,498
guo_readmission,0.068813175,0.9,3450,2675,0.8511214492884753,0.7785858873250291,0.34774098360655736,0.6382978723404256,0.8608441287087338,0.3617021276595745,0.1391558712912662,0.295,0.21540983606557376,0.2246376811594203,118,657
guo_readmission,0.068813175,0.95,3450,2521,0.8644614674869403,0.7811499122679986,0.4065688524590164,0.6463878326996197,0.8618246235606731,0.35361216730038025,0.13817537643932684,0.3425,0.259672131147541,0.2692753623188406,137,792
lab_thrombocytopenia,0.28271475,0.0,79763,79763,0.8349239343482173,0.8349236977771236,7.063427525262359e-07,0.6886721397906154,0.8222105282940856,0.31132786020938463,0.17778947170591441,0.0,0.0,0.0,0,0
lab_thrombocytopenia,0.28271475,0.5,79763,68985,0.8873302532001467,0.8542258129845608,0.17094697941743972,0.6898255296421577,0.8818926413999183,0.3101744703578423,0.11810735860008169,0.15387512239210666,0.12576819710951154,0.13512530872710404,4086,6692
lab_thrombocytopenia,0.28271475,0.6,79763,66345,0.8986611709891872,0.8587860027965583,0.21304029096689833,0.6957088336591268,0.8908357297309347,0.3042911663408731,0.10916427026906529,0.1908563681554568,0.1569283391907384,0.1682233617090631,5068,8350
lab_thrombocytopenia,0.28271475,0.7,79763,63178,0.9109087888719041,0.8637876460563922,0.2618406426117816,0.7045028142589118,0.8997996458857516,0.2954971857410882,0.10020035411424844,0.2372523913534684,0.1932943674942209,0.2079284881461329,6300,10285
lab_thrombocytopenia,0.28271475,0.8,79763,59225,0.9248855456977094,0.8697869605106033,0.3227762387707905,0.71616,0.9105373687461396,0.28384,0.0894626312538604,0.29389169240039165,0.23932041571914525,0.2574878076301042,7804,12734
lab_thrombocytopenia,0.28271475,0.9,79763,53296,0.9424586340743193,0.8796342785999818,0.410914783748573,0.7299982047752978,0.9256799234659013,0.2700017952247023,0.07432007653409868,0.3706786171574904,0.31242834858764496,0.3318205182854206,9843,16624
lab_thrombocytopenia,0.28271475,0.95,79763,48328,0.954845609892856,0.8882197229574272,0.4841711731605585,0.7453218314532183,0.9364363461422816,0.25467816854678166,0.06356365385771845,0.43247721623860813,0.37495536469394275,0.3941050361696526,11484,19951
lab_anemia,0.77305573,0.0,82131,82131,0.9553519966095148,0.9552955791227322,0.0001238986261236885,0.9408650576276172,0.7696718355571583,0.059134942372382863,0.23032816444284168,0.0,0.0,0.0,0,0
lab_anemia,0.77305573,0.5,82131,78751,0.9663602907419566,0.9602536866253588,0.028136687523635854,0.9526388027149492,0.780355186981693,0.04736119728505086,0.219644813018307,0.022315766254296796,0.07811034980165886,0.04115376654369239,1214,2166
lab_anemia,0.77305573,0.6,82131,77916,0.9687896763255658,0.9614293935815108,0.035187604240294025,0.9547809970497012,0.7855830670926518,0.04521900295029881,0.21441693290734826,0.028032572930644657,0.09700685178507032,0.05132045147386492,1525,2690
lab_anemia,0.77305573,0.7,82131,77007,0.9714313530077562,0.9627281843395398,0.043463899356498886,0.9571599931455989,0.7911051212938005,0.0428400068544011,0.20889487870619947,0.034558188268598,0.11698521456905878,0.06238813602659166,1880,3244
lab_anemia,0.77305573,0.8,82131,75771,0.9744876604564299,0.9644491475065169,0.054062578119835135,0.9602559913900793,0.7989721122251243,0.039744008609920625,0.20102788777487574,0.0435286116064043,0.1439596105301118,0.07743726485736202,2368,3992
lab_anemia,0.77305573,0.9,82131,74005,0.9784694899723588,0.9666399222443347,0.07009648197996085,0.9635620437956205,0.8107821475916924,0.03643795620437956,0.18921785240830755,0.0556239775004136,0.18391633609808872,0.09893949909291254,3026,5100
lab_anemia,0.77305573,0.95,82131,72597,0.9814616803140064,0.9683785166776173,0.08433391741031573,0.9659732745557239,0.8206481821520382,0.03402672544427607,0.1793518178479618,0.06595466995092002,0.2144248106743599,0.11608284326259269,3588,5946
new_hyperlipidemia,0.115084454,0.0,2116,2116,0.6560233976685775,0.6560233976685775,0.0,0.4689922480620155,0.7432723358449946,0.5310077519379846,0.25672766415500536,0.0,0.0,0.0,0,0
new_hyperlipidemia,0.115084454,0.5,2116,1835,0.6907791001008194,0.6675851393188854,0.20751871229378926,0.4409090909090909,0.8,0.5590909090909091,0.2,0.14728682170542637,0.13078579117330463,0.1327977315689981,38,243
new_hyperlipidemia,0.115084454,0.6,2116,1763,0.6993767371346753,0.6732230018763989,0.25695296267554507,0.4392523364485981,0.8089089735313105,0.5607476635514018,0.19109102646868947,0.17054263565891473,0.16630785791173305,0.1668241965973535,44,309
new_hyperlipidemia,0.115084454,0.7,2116,1712,0.7095981831099668,0.6744059361260459,0.3129354728348395,0.45145631067961167,0.8114209827357237,0.5485436893203883,0.18857901726427623,0.20155038759689922,0.18945102260495156,0.19092627599243855,52,352
new_hyperlipidemia,0.115084454,0.8,2116,1627,0.7226195324042445,0.6772649117632246,0.38014327317028396,0.4639175257731959,0.8150732728541521,0.5360824742268041,0.18492672714584787,0.24806201550387597,0.22874058127018299,0.23109640831758035,64,425
